instance_type,region,hourly_usd
m5.large,us-east-1,0.096
m5.xlarge,us-east-1,0.192
m5.2xlarge,us-east-1,0.384
m5.4xlarge,us-east-1,0.768
t3.nano,us-east-1,0.0052
t3.micro,us-east-1,0.0104
t3.small,us-east-1,0.0208
t3.medium,us-east-1,0.0416
t3.large,us-east-1,0.0832
t3.xlarge,us-east-1,0.1664
t3.2xlarge,us-east-1,0.3328
c5.large,us-east-1,0.085
c5.xlarge,us-east-1,0.17
c5.2xlarge,us-east-1,0.34
r5.large,us-east-1,0.126
r5.xlarge,us-east-1,0.252
r5.2xlarge,us-east-1,0.504
c7g.large,us-east-1,0.0725
t4g.nano,us-east-1,0.0042
t4g.large,us-east-1,0.0672
c7g.4xlarge,us-east-1,0.58
t2.large,us-east-1,0.0928
m7g.8xlarge,us-east-1,1.3056
c7i.large,us-east-1,0.08925
t2.micro,us-east-1,0.0116
m7i.xlarge,us-east-1,0.2016
c5.4xlarge,us-east-1,0.68
t2.small,us-east-1,0.023
c7g.medium,us-east-1,0.0363
r7i.xlarge,us-east-1,0.2646
m7g.2xlarge,us-east-1,0.3264
r7g.xlarge,us-east-1,0.2142
t2.medium,us-east-1,0.0464
m7i.large,us-east-1,0.1008
c7g.xlarge,us-east-1,0.145
t4g.small,us-east-1,0.0168
m7i.8xlarge,us-east-1,1.6128
r7g.2xlarge,us-east-1,0.4284
c7i.xlarge,us-east-1,0.1785
m7g.medium,us-east-1,0.0408
r7i.4xlarge,us-east-1,1.0584
m7g.xlarge,us-east-1,0.1632
r7i.large,us-east-1,0.1323
t4g.medium,us-east-1,0.0336
r7g.large,us-east-1,0.1071
r7i.2xlarge,us-east-1,0.5292
c7g.2xlarge,us-east-1,0.29
c7i.2xlarge,us-east-1,0.357
m7i.2xlarge,us-east-1,0.4032
m7g.4xlarge,us-east-1,0.6528
r5.4xlarge,us-east-1,1.008
c7i.4xlarge,us-east-1,0.714
m7g.large,us-east-1,0.0816
r7g.4xlarge,us-east-1,0.8568
t4g.micro,us-east-1,0.0084
m7i.4xlarge,us-east-1,0.8064
t4g.xlarge,us-east-1,0.1344
